SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),550 Linden Ave,Teaneck,NJ,07666,649900,6,2.5,Teaneck,,7501,,8,,,Active,,,https://www.redfin.com/NJ/Teaneck/550-Linden-Ave-07666/home/35861466,NJMLS,22014350,N,Y,40.8839859,-74.0258581
MLS Listing,,Single Family Residential,168 Godwin Ave,Wyckoff,NJ,07481,749999,4,3.0,Wyckoff,,16061,,8,,,Active,,,https://www.redfin.com/NJ/Wyckoff/168-Godwin-Ave-07481/home/35893545,NJMLS,22014347,N,Y,41.0049051,-74.158792
MLS Listing,,Single Family Residential,407 Concord St,Cresskill,NJ,07626,999000,4,3.0,Cresskill,,9775,,8,,,Active,,,https://www.redfin.com/NJ/Cresskill/407-Concord-St-07626/home/35696568,NJMLS,22014341,N,Y,40.9468596,-73.9717768
MLS Listing,,Single Family Residential,470 Paramus Rd,Paramus,NJ,07653,1098000,4,2.5,Paramus,,,,8,,,Active,May-7-2022 12:00 PM,May-7-2022 03:00 PM,https://www.redfin.com/NJ/Paramus/470-Paramus-Rd-07652/home/35820466,NJMLS,22014338,N,Y,40.9577728,-74.0930939
MLS Listing,,Single Family Residential,15 Ackerman Dr,Mahwah,NJ,07430,1350000,4,2.5,Mahwah,,20003,,8,,,Active,,,https://www.redfin.com/NJ/Mahwah/15-Ackerman-Dr-07430/home/35789315,NJMLS,22014331,N,Y,41.0285387,-74.1545031
MLS Listing,,Single Family Residential,411 Radcliffe St,Wyckoff,NJ,07481,698000,4,2.0,Wyckoff,,9121,,9,,,Active,,,https://www.redfin.com/NJ/Wyckoff/411-Radcliffe-St-07481/home/35896125,NJMLS,22014322,N,Y,40.9831496,-74.1473699
MLS Listing,,Multi-Family (2-4 Unit),109 Locust Ave,Wallington,NJ,07057,549900,5,2.5,Wallington,,,,9,,,Active,,,https://www.redfin.com/NJ/Wallington/109-Locust-Ave-07057/home/179201363,NJMLS,22014317,N,Y,40.8535327,-74.1108512
MLS Listing,,Single Family Residential,424 Colony Ct,Wyckoff,NJ,07481,1350000,5,4.0,Wyckoff,,30069,,9,,,Active,,,https://www.redfin.com/NJ/Wyckoff/424-Colony-Ct-07481/home/35894059,NJMLS,22014305,N,Y,40.9989403,-74.1694336
MLS Listing,,Single Family Residential,8 Edgewood Rd,Allendale,NJ,07401,800000,4,3.0,Allendale,,27312,,9,,,Active,,,https://www.redfin.com/NJ/Allendale/8-Edgewood-Rd-07401/home/35674304,NJMLS,22014271,N,Y,41.0258551,-74.1479892
MLS Listing,,Single Family Residential,43-20 Union St,Fair Lawn,NJ,07410,735000,4,3.0,Fair Lawn,,8002,,9,,,Active,,,https://www.redfin.com/NJ/Fair-Lawn/43-20-Union-St-07410/home/35722137,NJMLS,22014267,N,Y,40.933961,-74.0936904
